date,onion,potato,tomato
01/01/14,24.16,20.27,23.59
01/02/14,23.37,19.69,22.31
01/03/14,23.71,19.65,21.96
01/06/14,24,19,21.98
01/07/14,24.82,20.85,21.14
01/08/14,24.24,19.18,22.44
01/09/14,24.02,18.94,21.39
01/10/14,23.2,18.53,20.79
01/13/14,23.69,18.17,21.46
01/15/14,24,17.8,22.1
01/16/14,22.5,17.85,21.31
01/17/14,22.37,18.1,19.59
01/20/14,21.91,18.13,19.59
01/21/14,21.3,17.7,19.35
01/22/14,22.02,17.32,20.2
01/23/14,20.88,17.52,18.5
01/24/14,21.04,17.07,18.47
01/27/14,20.44,16.84,18.3
01/28/14,20.39,16.69,17.83
01/30/14,20.5,16.69,17.6
01/31/14,20.17,15.78,16.83
02/03/14,18.78,15.29,16.06
02/04/14,20.19,17.42,16.17
02/05/14,18.92,15.94,15.57
02/06/14,19.08,15.79,16.17
02/07/14,18.98,15.1,15.57
02/10/14,19.34,15.66,16.06
02/11/14,18.94,15.52,16.06
02/12/14,19.06,15.34,16.16
02/13/14,19.12,15.4,15.64
02/14/14,18.77,15.82,14.64
02/17/14,18.81,14.75,15.69
02/18/14,18.65,15.28,15.91
02/19/14,17.92,14.63,15.67
02/20/14,17.38,14.75,15.17
02/21/14,17.76,15.18,15.35
02/24/14,17.55,14.58,15.3
02/25/14,17.44,14.51,15.26
02/26/14,17.09,14.77,15.34
02/27/14,19.4,16.36,19.27
02/28/14,17.11,14.75,14.98
03/03/14,17.66,15.98,16
03/04/14,17.78,16.54,15.58
03/05/14,17.43,16.12,16.42
03/06/14,16.94,15.47,15.02
03/07/14,16.88,15.4,14.64
03/10/14,17.14,15.68,15.72
03/11/14,17.63,15.75,15.78
03/12/14,16.65,15.87,14.48
03/13/14,17.02,15.94,15.43
03/14/14,17.44,15.94,15.81
03/18/14,17.3,16.02,16.27
03/19/14,17.24,15.96,16.08
03/20/14,17.42,15.9,15.78
03/21/14,17.4,15.86,15.29
03/24/14,17.35,16.15,16.51
03/25/14,17.24,15.82,16.66
03/26/14,17.13,16.29,16.24
03/27/14,17.12,16.52,16.43
03/28/14,16.94,16.65,16.34
03/31/14,16.41,15.66,16.41
04/01/14,16.95,17.08,15.7
04/02/14,16.15,16.6,16.15
04/03/14,16.73,16.78,16.41
04/04/14,16.98,16.94,15.65
