date,onion,potato,tomato
01/01/14,19.67,16.09,18.86
01/02/14,19.02,15.85,17.79
01/03/14,19.27,15.66,17.23
01/06/14,18.86,15.22,16.13
01/07/14,19.1,16.49,14.63
01/08/14,19.09,14.97,16.51
01/09/14,18.95,14.88,15.67
01/10/14,18.92,14.53,15.93
01/13/14,18.43,14.01,15.79
01/15/14,18.37,13.64,16.07
01/16/14,17.22,13.27,15.61
01/17/14,17.28,13.65,14.21
01/20/14,16.56,13.69,13.74
01/21/14,16.38,13.56,14.09
01/22/14,16.92,13.05,14.65
01/23/14,16.13,12.61,13.64
01/24/14,16.02,12.12,13.02
01/27/14,15.67,12.37,13.18
01/28/14,15.39,12.26,12.87
01/30/14,15.68,12.33,12.83
01/31/14,15.41,11.92,11.91
02/03/14,14.4,11.27,11.75
02/04/14,15.19,12.49,11.24
02/05/14,14.42,11.21,10.8
02/06/14,14.62,11.4,11.36
02/07/14,14.86,11.02,11.5
02/10/14,14.74,11.27,11.31
02/11/14,14.17,11.07,11.16
02/12/14,14.35,10.84,11.29
02/13/14,14.09,11.1,10.67
02/14/14,13.85,11.52,9.72
02/17/14,14.08,10.61,11.3
02/18/14,13.99,11.25,11.24
02/19/14,13.22,11.26,11.24
02/20/14,13.08,10.81,11.28
02/21/14,13.07,11.06,10.75
02/24/14,12.82,10.59,10.66
02/25/14,13.07,10.32,10.92
02/26/14,12.84,10.98,10.66
02/27/14,13.28,12.15,12.98
02/28/14,13.29,11.37,11.01
03/03/14,13.18,11.78,11.28
03/04/14,13.16,11.94,10.82
03/05/14,13.1,11.78,11.63
03/06/14,12.44,11.39,10.3
03/07/14,12.95,11.41,10.53
03/10/14,13.03,11.72,11.26
03/11/14,13.29,11.74,11.28
03/12/14,12.92,11.7,10.54
03/13/14,12.68,11.6,10.66
03/14/14,13.09,11.76,11.22
03/18/14,12.71,11.8,11.08
03/19/14,13.01,11.82,11.27
03/20/14,12.8,11.69,10.81
03/21/14,13.16,11.83,10.47
03/24/14,13.05,12.12,11.87
